title,product_img_url,in_stock,alcoholPercentage,price
The SUB Compact Birra Moretti L'Autentica Starter Pack,https://www.beerwulf.com/globalassets/the-sub-compact--4-bm-autentica-2l-kegs---uk-sku-collection_skucollection_25147_02.png,True,,£ 149
The SUB Compact Party Starter Pack,https://www.beerwulf.com/globalassets/sub--4-bm-lautentica--4-heineken_skucollection_23724_0.png,True,,£ 175
BLADE Mixed Starter Pack,https://www.beerwulf.com/globalassets/blade--1x-birra-moretti-1x-heineken-1x-zipfer-1x-affligem_skucollection_21377_0.png,True,,£ 549
BLADE Dome,https://www.beerwulf.com/globalassets/blade-dome_1_0.png,True,,£ 50.00
Grade A: Refurbished BLADE Heineken Silver Bundle,https://www.beerwulf.com/globalassets/blade-refurbished--new-dome---a-grade-hnk-silver_skucollection_25300_0.png,True,,£ 399
BLADE Tiger Starter Pack,https://www.beerwulf.com/globalassets/blade--2-tiger---8l-keg-v2_skucollection_23808_04.png,True,,£ 499
BLADE Heineken Silver Starter Pack,https://www.beerwulf.com/globalassets/blade--2-heineken-silver-starter-pack_skucollection_24303_02.png,True,,£ 499
BLADE Strongbow Dark Fruit Starter Pack,https://www.beerwulf.com/globalassets/blade--2-strongbow-dark-fruit---8l-keg_skucollection_24887_0.png,True,,£ 499
BLADE Beer Tap,https://www.beerwulf.com/globalassets/blade-and-dome_1_05.png,True,,£ 469
The SUB Compact,https://www.beerwulf.com/globalassets/the-sub-compact---2l_2_05.png,True,0.0,£ 125
Lagunitas IPA - 8L BLADE Keg,https://www.beerwulf.com/globalassets/lagunitas-ipa---blade-keg_beer_22312_02.png,False,6.2,£ 42.99
Gallia West IPA - 2L SUB Keg,https://www.beerwulf.com/globalassets/gallia-west-ipa---sub-keg-v2_beer_24042_0.png,False,6.0,£ 16.99
Birra Moretti L'Autentica Value Case,https://www.beerwulf.com/globalassets/4.-products/packs/value-packs/birra_moretti_box.png,False,,£ 36.99
Tiger Value Case,https://www.beerwulf.com/globalassets/tiger-voordeelverpakking_1_0.png,False,,£ 44.99
Birra Moretti Bar Kit,https://www.beerwulf.com/globalassets/birra-moretti-bar-kit_pack_23109_02.png,False,,£ 36.99
Heineken Beer Champions League Glass Case,https://www.beerwulf.com/globalassets/6-heineken-cl-glass-pack_pack_24283_0.png,False,,£ 20.99
BLADE Birra Moretti Starter Pack + Glasses,https://www.beerwulf.com/globalassets/blade--2-bm-lautentica---8l--6-bm-glasses_skucollection_24307_02.png,False,,£ 519
Lagunitas IPA Value Case,https://www.beerwulf.com/globalassets/lagunitas-ipa_2_0.png,False,,£ 57.99
Dos Equis Lager Especial Value Pack,https://www.beerwulf.com/globalassets/dos-equis-lager-especial-value-pack_1_0.png,False,,£ 37.99
Affligem Blond Value Case,https://www.beerwulf.com/globalassets/16-affligem-case_valuepack_24813_0.png,False,,£ 31.99
Affligem Blond - 8L BLADE Keg,https://www.beerwulf.com/globalassets/affligem-blond-8l-kegbladekeg8_15277_0.png,False,6.7,£ 40.99
Brixton Low Voltage - 2L SUB Keg,https://www.beerwulf.com/globalassets/brixton-low-voltage-torp-v2_beer_24031_02.png,False,4.3,£ 15.99
Red Stripe Value Case,https://www.beerwulf.com/globalassets/4.-products/packs/value-packs/red_stripes_lager_box.png,False,,£ 35.99
Birra Moretti Beer Glass Case,https://www.beerwulf.com/globalassets/6-birra-moretti-glass-pack_pack_22780_02.png,False,,£ 25.99
The Complete Heineken Bar Kit,https://www.beerwulf.com/globalassets/heineken-bar-kit_pack_22989_03.png,False,,£ 31.99
The Heineken Home Bar Bundle,https://www.beerwulf.com/globalassets/sub-compact--3-hnk-2-hnk-glasses-uk_pack_24342_0.png,False,,£ 149
The Birra Moretti Home Bar Bundle,https://www.beerwulf.com/globalassets/sub-compact--3-bm-autentica--2-bm-glasses-uk_pack_24351_0.png,False,,£ 149
Desperados,https://www.beerwulf.com/globalassets/desperados.33_1_2.png,True,5.9,£ 1.89
Lagunitas IPA,https://www.beerwulf.com/globalassets/lagunitas-ipa.36_1_1.png,True,6.2,£ 2.79
Red Stripe,https://www.beerwulf.com/globalassets/red-stripe.33_1_1.png,True,4.7,£ 1.69
Lagunitas Daytime,https://www.beerwulf.com/globalassets/lagunitas-daytime_3_03.png,True,4.0,£ 2.29
St. Feuillien Quadrupel,https://www.beerwulf.com/globalassets/st.-feuillien-quadrupelbottle.33_14862_0.png,True,11.0,£ 3.09
Engelszell Gregorius,https://www.beerwulf.com/globalassets/engelszell-gregorius.33_1_0.png,True,10.5,£ 4.59
Rochefort 8',https://www.beerwulf.com/globalassets/rochefort-8.33_1_1.png,True,9.2,£ 3.39
St. Feuillien Grand Cru,https://www.beerwulf.com/globalassets/st-feuillien-grand-cru.33_1_1.png,True,9.5,£ 2.99
Chimay Rood,https://www.beerwulf.com/globalassets/chimay-rood.33_1_1.png,True,7.0,£ 2.69
Magic Rock Cannonball,https://www.beerwulf.com/globalassets/magic-rock-cannonball.33_1_0.png,True,7.4,£ 3.29
Brussels Beer Project Wunder Lager,https://www.beerwulf.com/globalassets/brussels-beer-project-wunder-lager_2_1.png,True,3.8,£ 2.49
Lupulus Blonde Triple,https://www.beerwulf.com/globalassets/lupulus-blonde-bottle.33_14732_0.png,True,8.5,£ 2.69
Iki Yuzu,https://www.beerwulf.com/globalassets/iki-yuzu.33_1_1.png,True,4.5,£ 2.29
Mort Subite Kriek Lambic,https://www.beerwulf.com/globalassets/mort-subite-kriek-lambic.25_14867_0.png,True,4.0,£ 1.89
Texels Tripel,https://www.beerwulf.com/globalassets/texels-tripel.3_1_1.png,True,8.5,£ 2.99
Tiger Lager,https://www.beerwulf.com/globalassets/tiger_2_0.png,True,4.7,£ 2.19
Moretti L'Autentica,https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/birra_moretti_lautentica_2.png,True,4.6,£ 1.69
Brouwerij 't IJ IJwit,https://www.beerwulf.com/globalassets/brouwerij-t-ij-ijwit.33_1_1.png,True,6.5,£ 2.79
Lagunitas A Little Sumpin' Sumpin',https://www.beerwulf.com/globalassets/lagunitas-a-little-sumpin-sumpin.36_1_1.png,True,7.5,£ 2.89
Ciney Blond,https://www.beerwulf.com/globalassets/ciney-blond.25_1_0.png,True,7.0,£ 1.89
Brugse Zot Dubbel,https://www.beerwulf.com/globalassets/brugse-zot-dubbel.33_1_1.png,True,7.5,£ 3.09
Affligem Tripel,https://www.beerwulf.com/globalassets/affligem-tripel.3_1_02.png,True,9.0,£ 2.19
Mount Saint Bernard Tynt Meadow,https://www.beerwulf.com/globalassets/mount-saint-bernard-tynt-meadow.33_1_0.png,True,7.4,£ 3.59
Maredsous Blonde,https://www.beerwulf.com/globalassets/maredsous-blondebottle.33_14815_02.png,True,6.0,£ 2.59
St. Feuillien Five,https://www.beerwulf.com/globalassets/st.-feuillien-fivebottle.33_14916_0.png,True,5.0,£ 2.39
Sol,https://www.beerwulf.com/globalassets/sol.33_1_1.png,True,4.5,£ 1.79
Dupont Saison,https://www.beerwulf.com/globalassets/dupont-saison.33_1_1.png,True,6.5,£ 2.59
Lindemans Kriek,https://www.beerwulf.com/globalassets/lindemans-kriek.25_1_1.png,True,3.5,£ 2.19
Westmalle Tripel,https://www.beerwulf.com/globalassets/westmalle-tripel.33_1_0.png,True,9.5,£ 2.99
Brand Weizen 0.0,https://www.beerwulf.com/globalassets/brand-weizen-0.0.3_1_1.png,True,0.0,£ 1.79
"Budels Malt 0,0%",https://www.beerwulf.com/globalassets/budels-malt-00.3_1_1.png,True,0.0,£ 1.69
Brand IPA,https://www.beerwulf.com/globalassets/brand-ipa.3_1_1.png,True,7.0,£ 2.09
Affligem Blond,https://www.beerwulf.com/globalassets/affligem-blond-uk_1_0.png,True,6.7,£ 1.89
