full_name,age,photoURL,player_team,games_played
KadeChandler,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005330.png?i10c=img.resize(scale_height:0.6),Melbourne,4.0
OscarMcInerney,28,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005521.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,22.0
JoshCorbett,26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005547.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,4.0
SamDraper,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005577.png?i10c=img.resize(scale_height:0.6),Essendon,22.0
LukeFoley,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005599.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,16.0
NickCoffield,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005717.png?i10c=img.resize(scale_height:0.6),St Kilda,0.0
TarrynThomas,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005729.png?i10c=img.resize(scale_height:0.6),North Melbourne,10.0
MalcolmRosas,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005986.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,15.0
LiamHenry,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005988.png?i10c=img.resize(scale_height:0.6),Fremantle,7.0
JoelJeffrey,20,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1005992.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,5.0
JamesPeatling,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006013.png?i10c=img.resize(scale_height:0.6),GWS Giants,12.0
NickBlakey,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006028.png?i10c=img.resize(scale_height:0.6),Sydney Swans,24.0
JacobKoschitzke,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006030.png?i10c=img.resize(scale_height:0.6),Hawthorn,16.0
ElySmith,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006033.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,0.0
BaileyScott,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006058.png?i10c=img.resize(scale_height:0.6),North Melbourne,21.0
KeideanColeman,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006059.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,18.0
ConnorMcFadyen,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006085.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,0.0
CalebGraham,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006087.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,15.0
SamWalsh,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006094.png?i10c=img.resize(scale_height:0.6),Carlton,20.0
XavierDuursma,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006096.png?i10c=img.resize(scale_height:0.6),Port Adelaide,11.0
ThomasBerry,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006100.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,3.0
JyeCaldwell,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006103.png?i10c=img.resize(scale_height:0.6),Essendon,20.0
Bailey J.Williams,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006114.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,17.0
ZakButters,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006121.png?i10c=img.resize(scale_height:0.6),Port Adelaide,20.0
JamesRowbottom,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006126.png?i10c=img.resize(scale_height:0.6),Sydney Swans,24.0
RhyleeWest,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006127.png?i10c=img.resize(scale_height:0.6),Western Bulldogs,14.0
BaileySmith,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006130.png?i10c=img.resize(scale_height:0.6),Western Bulldogs,17.0
JackRoss,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006133.png?i10c=img.resize(scale_height:0.6),Richmond,15.0
XavierO'Halloran,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1006135.png?i10c=img.resize(scale_height:0.6),GWS Giants,14.0
